BI,BS,CE,CH,CM,GC,GR,MA,ME,PH,BC,CO,BP,TCV,IN,ODY,AASG,EL,PO,CRPPhb,MX,BM,DIA,AI
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188.27447099045972,289.0654186598998,546.2103167315258,1712.3392530085198,688.1436772955834,787.0601983400733,351.67752187331007,217.37187380399112,523.429244378038,1617.005663815184,164.98201597030555,240.7417468802197,241.99197167957894,71.24450194036646,667.2932630585093,147.9022383641386,726.9300966779322,970.0545770953032,38.59742626006614,482.2762057350803,1429.6735176835493,1161.5568868039288,62.77208633930702,1481.1500682323565
173.07824560180458,257.3154084943295,492.5595583714209,1604.008418843084,626.9668957311776,702.4740928481044,318.9875312736365,167.74358045263355,465.47291985156807,1524.7825510657094,113.67159193909937,204.30490093770894,209.83686111334433,50.56610278964462,591.1543412039468,134.9010844530085,666.1593244330054,895.6859044654811,36.23651663399603,444.2198512240456,1336.7185632113126,1089.3389358369163,59.66974732573881,1407.3522951360849
122.69883613438488,172.52577792287553,334.88986518544397,1172.7169919422506,437.53835833330555,464.1771463558439,219.31541067610434,23.177918691619997,287.8980184533723,1129.8292707945766,12.075033563794161,115.5036589949392,128.38920437238954,0.0,381.7879721529544,96.34866749578107,472.57371550135355,647.3103177946899,27.618136734101014,311.02219451926254,984.0748600722699,805.7595393585159,46.54044982116591,1059.9709692213166
85.81698054645638,117.02408845741245,225.5468675458999,833.8809318802411,303.1183439669511,302.0630259513301,148.9110555025386,0.0,159.48983260923183,812.5610078873929,0.0,59.54446310739699,76.1151504758015,0.0,240.88445007300226,69.84206647124302,333.7479162844401,465.90185124581444,21.190880436990366,210.6117246348796,712.9500868265527,585.0513168335924,36.2678158221278,773.7952447850689
60.310452696551366,82.62846804001434,153.60836019951373,585.5368495322398,212.73930745441413,197.40147864848805,101.77020520861286,0.0,71.55888823414978,576.0905769346605,0.0,26.300318231406973,44.4039057009129,0.0,150.90242606143002,52.56045927369931,239.50727895589196,340.7314399791762,16.678508269430896,139.39191528704401,517.6214604197611,424.4945702175534,28.77003271857732,556.5797102932796
65.96572717504783,115.67417834118284,193.6267089864507,551.1725847690927,249.30046402204397,269.9187498814912,122.44707822634538,0.0,101.32717616256839,519.0268174133839,12.728501082076981,70.31109232554267,80.84067291444327,0.0,220.6403973899429,62.691513953630796,271.114768729642,368.7736114033207,17.04120752933382,144.82560386044503,509.03665343187436,407.9702115452697,27.539270381362606,479.9964496370276
50.32743546679654,81.91146682143582,136.09112386509258,443.7331050475233,185.5042489706659,176.92222280045866,87.62259483518012,0.0,31.258374576424714,430.4573693027609,0.0,27.291713746538967,44.149738015394135,0.0,135.45453919595013,49.87220791734426,209.2937237111947,295.4939380624922,15.079718863653577,104.02819301915058,419.862910535156,339.35158543489837,25.286983115565157,412.99678500158143
44.70754864420777,60.134554727307595,104.94384848986654,439.2687748830586,156.1730214005505,120.81803048856627,70.45619577126406,0.0,0.0,441.87333462397487,0.0,0.0,17.38271649301442,0.0,81.08371686698554,43.73556948456162,184.2323782555206,272.4331108775606,15.073559159163546,91.14310486624198,411.9206807362619,338.059592107386,26.4211707698934,439.97592236391654
