K_sun,K_th,Spec Q_people,Spec Elec,Floor Area
0.09593515167117413,0.005285804279371174,0.0022624748858447487,0.010502765522676679,4496.0
0.06355016967186529,0.0031553636960645697,0.0022624748858447487,0.00390109198553863,10267.0
0.07417409460222414,0.004203708001135857,0.0022624748858447487,0.008229027442497419,16655.0
0.1365534986903644,0.007925226045921073,0.0022624748858447487,0.01858078943479879,28986.0
0.08409341464061162,0.004538654797441163,0.0022624748858447487,0.00828594755770275,18663.0
0.066354379864164,0.003989681330830692,0.0022624748858447487,0.008493672812312038,26586.0
0.07980861374638669,0.004560663242753591,0.0022624748858447487,0.009292787836350905,9997.0
0.025873249896761156,0.00856745316686627,0.0022624748858447487,0.0450445806468005,14018.0
0.06645296557016878,0.005974219234202635,0.0022624748858447487,0.020753086538080105,17151.0
0.15923546508512473,0.00913608000578472,0.0022624748858447487,0.02146409664618543,23581.0
0.016673906055221056,0.0026779922916388547,0.0022624748858447487,0.010472477351807152,17480.0
0.043372601036803855,0.0033251326106365536,0.0022624748858447487,0.009051582902937056,11901.0
0.05083113875058542,0.003328130573932003,0.0022624748858447487,0.007554575218274635,10442.0
0.017632434317051575,0.007275678375309739,0.0022624748858447487,0.03872616224841831,6095.0
0.06168632746746335,0.0039117106648852385,0.0022624748858447487,0.008959762230066198,24073.0
0.08326413417571087,0.0035393357093813182,0.0022624748858447487,0.00227110923642077,4092.0
0.09067520361191679,0.0046516322628856075,0.0022624748858447487,0.007647597916264715,18389.0
0.10120391544988636,0.004967990293288785,0.0022624748858447487,0.0074656719109879,22127.0
0.13139929411784204,0.004753036364875353,0.0022624748858447487,0.0,692.0
0.10135427753285393,0.006506656439603051,0.0022624748858447487,0.016955706792906713,10831.0
0.1282461668033745,0.006669572767040844,0.0022624748858447487,0.012499391007242249,25868.0
0.1370335174781833,0.007196996427706711,0.0022624748858447487,0.013977286715660057,19697.0
0.1760317581115644,0.006218753912773615,0.0022624748858447487,0.0,847.0
0.195748781402771,0.010935326783300248,0.0022624748858447487,0.02517762076532719,17674.0
