,BC,CO,BP,TCV,IN,ODY,AASG,EL,PO,CRPPhb,MX,BM,DIA,AI
0,23027.605007420232,25155.990051526045,23859.78566821487,17351.24856416126,65353.79890810798,12683.28801792538,66435.56379290042,87484.11558693522,3180.759489528068,47979.76335735372,132007.17698777327,107719.07264513726,5158.0355583612645,141007.4792684058
1,52374.31603405916,56667.38806863627,53581.97077378098,41632.997018514056,147271.32240960313,28319.554264107428,149538.92411352845,196967.74433763194,7106.552853074676,109125.71617288879,298741.83495232085,244043.10528940862,11546.48719904921,321166.76898744673
2,26587.313321655813,29355.597219441577,27838.084435449302,20883.868704110064,76664.49850860224,14892.304577520845,78395.16034026581,103410.96591074888,3766.370028037628,56991.93830712613,156850.11044951383,128139.00646310243,6133.1744963536985,168609.88326616897
3,39016.371828879885,43262.98447563793,41031.98795249712,30841.96076833651,113179.81054520395,21906.343211052652,115772.85643274174,152780.47317079792,5543.016725387204,84532.92528709324,232404.61090716603,189982.84014787,9036.882064890411,250719.91413160998
4,17178.035885597466,18146.90557863269,17009.99097003355,13807.435180384986,46701.74550110365,8786.36921809562,46927.04831449932,61674.12174138471,2188.137455878851,34715.98133114124,93918.51504695458,76776.82027740023,3553.7760875549966,101464.53811568972
5,32435.19024337796,35297.42450584604,33335.9500240863,25846.911145665406,91567.50702052268,17513.813555059234,92713.92691614658,122018.2351585414,4379.3899489646965,67824.75198300576,185142.98133251062,151252.2258522419,7108.258812312064,199163.31557664828
6,1227.706234494747,1081.9825524966839,962.7879891791687,1136.6082913123764,2616.816404382178,420.6926935989843,2429.1637504609907,3137.570861133317,97.76522254670647,1956.8799223919243,4893.167854194633,4016.31654584631,157.15567760809085,5440.804763497529
