Hours,Temp,Irr,Type
307,0.7,0,B
308,0.6,0,B
309,0.5,0,B
310,0.4,0,B
311,0.2,0,B
312,-0.3,0,B
313,-0.9,0,B
314,-1.5,0,B
315,-1.8,0,B
316,-2.1,0,B
317,-2.4,0,B
318,-2.6,0,B
319,-2.9,0,B
320,-2.6,7,B
321,-2.1,37,B
322,-2.1,23,B
323,-2.1,30,B
324,-0.8,202,B
325,0.2,220,B
326,0.9,233,B
327,1.2,179,B
328,0.9,75,B
329,0.2,0,B
330,-0.4,0,B
331,-1.0,0,B
332,-1.6,0,B
333,-2.2,0,B
334,-2.8,0,B
335,-3.4,0,B
336,-3.9,0,B
337,-4.4,0,B
338,-5.0,0,B
339,-5.3,0,B
340,-5.6,0,B
341,-5.9,0,B
342,-6.1,0,B
343,-6.3,0,A
344,-6.3,2,A
345,-5.2,65,A
346,-4.3,117,A
347,-3.1,193,A
348,-2.2,226,A
349,-1.8,191,A
350,-1.8,142,A
351,-2.2,89,A
352,-2.9,42,A
353,-3.6,0,A
354,-3.8,0,A
355,-4.0,0,A
356,-4.2,0,A
357,-4.4,0,A
358,-4.6,0,B
359,-4.7,0,B
360,-4.7,0,B
361,-4.7,0,B
362,-4.6,0,B
363,-4.5,0,B
364,-4.5,0,B
365,-4.4,0,B
366,-4.4,0,B
367,-4.3,0,A
368,-4.0,6,A
369,-2.4,71,A
370,-0.7,147,A
371,0.8,195,A
372,1.7,201,A
373,2.0,150,A
374,2.3,176,A
375,1.7,70,A
376,1.2,56,A
377,0.3,0,A
378,0.0,0,A
379,-0.2,0,A
380,-0.4,0,A
381,-0.7,0,A
382,-0.9,0,B
383,-1.1,0,B
384,-1.6,0,B
385,-2.0,0,B
386,-2.4,0,B
387,-2.6,0,B
388,-2.8,0,B
389,-3.0,0,B
390,-3.1,0,B
391,-3.3,0,A
392,-3.0,7,A
393,-0.9,113,A
394,1.1,207,A
395,2.9,286,A
396,4.3,337,A
397,5.3,330,A
398,5.6,277,A
399,4.7,113,A
400,3.5,49,A
401,2.2,0,A
402,1.9,0,A
403,1.6,0,A
404,1.3,0,A
405,0.9,0,A
406,0.6,0,B
407,0.3,0,B
408,-0.1,0,B
409,-0.4,0,B
410,-0.8,0,B
411,-1.0,0,B
412,-1.2,0,B
413,-1.4,0,B
414,-1.5,0,B
415,-1.6,0,A
416,-1.2,10,A
417,1.4,135,A
418,3.5,230,A
419,5.9,357,A
420,7.3,353,A
421,7.9,302,A
422,7.7,211,A
423,7.1,156,A
424,5.8,57,A
425,4.4,0,A
426,4.2,0,A
427,4.0,0,A
428,3.9,0,A
429,3.7,0,A
430,3.5,0,B
431,3.3,0,B
432,3.2,0,B
433,3.0,0,B
434,2.9,0,B
435,2.8,0,B
436,2.8,0,B
437,2.7,0,B
438,2.7,0,B
439,2.6,0,A
440,2.8,3,A
441,3.1,13,A
442,3.0,24,A
443,3.6,31,A
444,3.8,35,A
445,5.6,263,A
446,6.7,215,A
447,7.0,143,A
448,6.7,53,A
449,6.1,0,A
450,5.9,0,A
451,5.6,0,A
452,5.4,0,A
453,5.1,0,A
454,4.9,0,B
455,4.7,0,B
456,4.3,0,B
457,3.9,0,B
458,3.6,0,B
459,3.4,0,B
460,3.1,0,B
461,2.9,0,B
462,2.8,0,B
463,2.6,0,B
464,2.7,3,B
465,3.3,41,B
466,3.8,68,B
467,4.3,98,B
468,4.7,113,B
469,4.9,105,B
470,4.9,86,B
471,4.7,60,B
472,4.4,27,B
473,4.0,0,B
474,3.8,0,B
475,3.1,0,B
476,3.3,0,B
477,3.2,0,B
478,3.1,0,B
479,2.9,0,B
480,2.9,0,B
481,2.9,0,B
482,2.9,0,B
483,2.9,0,B
484,2.9,0,B
485,2.9,0,B
486,2.9,0,B
487,2.9,0,B
488,3.0,2,B
489,4.0,44,B
490,5.7,127,B
491,7.5,205,B
492,8.2,169,B
493,8.5,146,B
494,8.8,152,B
495,8.7,109,B
496,8.0,47,B
497,7.1,1,B
498,7.1,0,B
499,7.0,0,B
500,7.1,0,B
501,7.0,0,B
502,7.0,0,B
503,7.0,0,B
504,6.6,0,B
505,5.7,0,B
506,6.5,0,B
507,6.6,0,B
508,6.6,0,B
509,6.6,0,B
510,6.5,0,B
511,6.5,0,A
512,6.6,3,A
513,7.0,20,A
514,7.3,34,A
515,7.6,47,A
516,7.8,53,A
517,7.9,46,A
518,7.9,38,A
519,7.8,26,A
520,7.7,12,A
521,7.5,0,A
522,7.3,0,A
523,7.0,0,A
524,6.7,0,A
525,6.2,0,A
526,6.4,0,B
527,6.3,0,B
528,5.7,0,B
529,5.3,0,B
530,5.0,0,B
531,4.8,0,B
532,4.5,0,B
533,4.2,0,B
534,3.6,0,B
535,3.8,0,A
536,4.0,3,A
537,2.3,20,A
538,3.8,35,A
539,4.1,42,A
540,4.2,47,A
541,4.2,45,A
542,4.1,40,A
543,4.0,28,A
544,3.9,12,A
545,3.0,0,A
546,3.5,0,A
547,2.9,0,A
548,3.0,0,A
549,2.7,0,A
550,2.4,0,B
551,2.2,0,B
552,1.1,0,B
553,-0.1,0,B
554,-1.3,0,B
555,-2.0,0,B
556,-2.6,0,B
557,-3.3,0,B
558,-3.8,0,B
559,-4.2,0,A
560,-4.0,10,A
561,-2.0,132,A
562,-0.1,234,A
563,1.5,324,A
564,2.7,358,A
565,3.4,347,A
566,3.6,298,A
567,3.2,206,A
568,2.0,88,A
569,0.6,1,A
570,0.0,0,A
571,-0.5,0,A
572,-1.0,0,A
573,-1.5,0,A
574,-2.1,0,B
575,-2.6,0,B
576,-2.7,0,B
577,-2.8,0,B
578,-2.8,0,B
579,-2.9,0,B
580,-2.9,0,B
581,-3.0,0,B
582,-3.0,0,B
583,-3.1,0,A
584,-2.6,11,A
585,0.0,121,A
586,2.2,211,A
587,3.9,266,A
588,5.2,287,A
589,5.8,271,A
590,6.1,235,A
591,5.7,158,A
592,4.5,62,A
593,3.0,1,A
594,3.5,0,A
595,4.0,0,A
596,4.4,0,A
597,4.9,0,A
598,5.3,0,B
599,5.8,0,B
600,5.8,0,B
601,5.9,0,B
602,6.0,0,B
603,6.0,0,B
604,6.1,0,B
605,5.9,0,B
606,5.3,0,B
607,6.2,0,A
608,6.5,3,A
609,7.3,34,A
610,8.0,60,A
611,8.6,81,A
612,9.1,85,A
613,9.2,82,A
614,9.6,87,A
615,9.5,47,A
616,9.2,23,A
617,8.7,1,A
618,8.5,0,A
619,8.3,0,A
620,7.8,0,A
621,7.9,0,A
622,7.6,0,B
